Flow ID,Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Packet Count,Bytes,Label
41-flow,2026-04-04 23:38:28,135.167.93.170,71.220.126.177,40206,445,6,235,18486,NetBIOS
42-flow,2026-04-04 23:38:29,218.5.58.189,91.209.54.135,31938,80,6,476,47551,Normal
43-flow,2026-04-04 23:38:30,211.140.87.39,141.191.134.176,54700,443,17,399,2440,Normal
44-flow,2026-04-04 23:38:31,200.2.19.105,42.33.105.47,52119,80,6,34,25311,Normal
45-flow,2026-04-04 23:38:32,123.191.126.160,86.208.228.35,9328,80,6,280,35349,Normal
46-flow,2026-04-04 23:38:33,164.224.128.25,80.72.249.92,62010,389,17,333,6608,NetBIOS
47-flow,2026-04-04 23:38:34,115.58.94.124,171.80.51.253,16101,445,17,96,33140,Normal
48-flow,2026-04-04 23:38:35,110.3.186.31,87.132.149.42,60470,443,17,188,10499,LDAP
49-flow,2026-04-04 23:38:36,125.153.192.100,229.136.212.167,46862,80,6,46,37245,Normal
50-flow,2026-04-04 23:38:37,74.141.75.185,58.7.89.168,40441,443,17,204,12531,Normal
51-flow,2026-04-04 23:38:38,223.8.201.162,47.126.207.191,38563,445,17,219,7012,Normal
52-flow,2026-04-04 23:38:39,129.153.28.135,41.126.212.10,28822,443,6,68,46032,Normal
53-flow,2026-04-04 23:38:40,163.91.14.158,113.248.220.202,4832,445,6,492,21770,LDAP
54-flow,2026-04-04 23:38:41,181.162.81.6,221.191.135.62,51332,443,6,155,5530,Normal
55-flow,2026-04-04 23:38:42,202.239.142.29,233.240.207.132,51702,389,6,491,24218,Normal
56-flow,2026-04-04 23:38:43,200.101.166.199,86.217.22.36,2385,389,6,435,19884,LDAP
57-flow,2026-04-04 23:38:44,214.85.68.2,70.83.75.115,53810,389,17,366,20907,Normal
58-flow,2026-04-04 23:38:45,95.187.77.123,88.157.245.37,12100,443,6,204,16445,Normal
59-flow,2026-04-04 23:38:46,21.97.7.45,43.27.214.254,53504,445,17,103,20305,Normal
60-flow,2026-04-04 23:38:47,253.185.25.3,27.148.116.245,9172,443,17,109,37839,Normal
61-flow,2026-04-04 23:38:48,117.202.69.125,206.125.50.208,32220,80,17,291,35923,LDAP
62-flow,2026-04-04 23:38:49,128.68.132.221,36.223.154.34,2117,389,6,329,41727,Normal
63-flow,2026-04-04 23:38:50,189.97.156.123,10.130.139.79,1583,445,6,84,27102,Normal
64-flow,2026-04-04 23:38:51,97.186.83.86,232.3.80.102,10348,443,6,466,4289,Normal
65-flow,2026-04-04 23:38:52,196.70.171.31,252.136.74.240,23693,445,17,475,44342,Normal
66-flow,2026-04-04 23:38:53,178.149.182.81,220.184.112.176,25735,389,6,57,33146,Normal
67-flow,2026-04-04 23:38:54,107.224.231.125,25.99.106.69,53448,389,17,283,46738,NetBIOS
68-flow,2026-04-04 23:38:55,106.201.24.16,74.3.121.46,34246,443,17,14,27137,Normal
69-flow,2026-04-04 23:38:56,200.59.215.43,155.244.160.211,1655,80,17,453,44378,Normal
70-flow,2026-04-04 23:38:57,70.168.91.24,15.167.214.11,22091,80,6,205,42003,Normal
71-flow,2026-04-04 23:38:58,94.34.75.84,251.135.33.107,50242,445,6,138,3695,Normal
72-flow,2026-04-04 23:38:59,181.60.209.247,206.183.239.187,35613,389,6,28,30290,Normal
73-flow,2026-04-04 23:39:00,38.207.73.18,28.114.235.196,49655,445,6,87,27301,Normal
74-flow,2026-04-04 23:39:01,223.252.89.205,62.202.253.55,28729,389,17,47,22230,Normal
75-flow,2026-04-04 23:39:02,60.85.95.233,131.226.218.222,9363,80,17,471,27308,NetBIOS
76-flow,2026-04-04 23:39:03,70.10.233.116,26.101.163.24,20284,443,17,241,14394,Normal
77-flow,2026-04-04 23:39:04,67.12.246.234,139.92.206.249,31559,389,6,354,34422,Normal
78-flow,2026-04-04 23:39:05,100.251.109.161,60.126.194.54,11776,445,17,472,43498,Normal
79-flow,2026-04-04 23:39:06,150.211.205.47,100.135.160.246,62802,389,6,63,11242,Normal
80-flow,2026-04-04 23:39:07,130.108.6.37,35.137.218.26,47970,80,17,34,416,NetBIOS
81-flow,2026-04-04 23:39:08,64.86.160.205,72.169.76.59,24633,445,17,39,12561,LDAP
82-flow,2026-04-04 23:39:09,108.84.240.168,154.50.177.220,40816,389,6,289,9807,Normal
83-flow,2026-04-04 23:39:10,216.23.23.199,223.130.123.148,7930,445,17,294,38442,Normal
84-flow,2026-04-04 23:39:11,157.97.42.203,72.172.251.116,16246,80,17,81,27207,LDAP
85-flow,2026-04-04 23:39:12,82.179.144.98,111.131.247.82,51072,443,6,64,34190,Normal
86-flow,2026-04-04 23:39:13,230.206.98.81,17.3.86.233,50800,445,17,133,13680,Normal
87-flow,2026-04-04 23:39:14,30.198.116.36,242.79.209.210,2475,443,17,24,38741,Normal
88-flow,2026-04-04 23:39:15,218.174.203.146,56.146.119.206,57142,389,17,163,14657,LDAP
89-flow,2026-04-04 23:39:16,242.112.183.50,170.45.210.253,7811,445,6,136,8378,Normal
90-flow,2026-04-04 23:39:17,196.253.163.252,178.157.130.243,28637,443,17,11,3053,Normal
91-flow,2026-04-04 23:39:18,39.66.178.71,109.74.247.88,61291,443,17,275,29415,Normal
92-flow,2026-04-04 23:39:19,105.207.110.209,35.43.156.33,37477,389,6,204,29137,Normal
93-flow,2026-04-04 23:39:20,234.230.80.170,165.56.178.213,20454,445,6,105,34129,Normal
94-flow,2026-04-04 23:39:21,5.189.244.65,52.107.74.81,28079,445,17,90,3060,NetBIOS
95-flow,2026-04-04 23:39:22,84.215.238.189,140.47.172.97,55889,80,6,192,15119,Normal
96-flow,2026-04-04 23:39:23,17.81.73.34,150.115.204.94,48825,389,17,363,26106,LDAP
97-flow,2026-04-04 23:39:24,162.97.224.177,163.206.56.20,38170,80,6,356,6864,Normal
98-flow,2026-04-04 23:39:25,254.186.148.176,176.88.12.62,39305,443,17,378,39890,Normal
99-flow,2026-04-04 23:39:26,185.208.187.36,158.31.137.190,54533,80,6,375,22037,Normal
100-flow,2026-04-04 23:39:27,181.99.252.10,37.71.232.142,21530,445,6,118,31440,Normal
101-flow,2026-04-04 23:39:28,42.144.7.35,83.51.70.15,44791,443,17,239,44268,Normal
102-flow,2026-04-04 23:39:29,93.202.151.243,149.156.135.209,57108,445,6,392,7324,Normal
103-flow,2026-04-04 23:39:30,43.84.245.190,16.103.49.65,16777,389,17,326,45705,Normal
104-flow,2026-04-04 23:39:31,58.212.150.100,164.181.176.42,62424,445,17,51,15195,Normal
105-flow,2026-04-04 23:39:32,129.48.233.234,16.80.158.15,29629,443,6,189,10130,Normal
106-flow,2026-04-04 23:39:33,175.173.39.47,197.215.135.4,3611,445,17,405,4624,LDAP
107-flow,2026-04-04 23:39:34,219.6.175.165,149.78.206.42,55832,443,17,421,16459,Normal
108-flow,2026-04-04 23:39:35,190.4.251.144,51.250.210.168,16584,389,6,290,37630,LDAP
109-flow,2026-04-04 23:39:36,120.14.199.195,122.230.129.108,31997,80,17,25,40982,Normal
110-flow,2026-04-04 23:39:37,66.101.173.2,189.194.191.157,42620,443,17,495,26487,Normal
111-flow,2026-04-04 23:39:38,165.77.184.129,6.210.211.171,9288,389,6,212,15535,Normal
112-flow,2026-04-04 23:39:39,126.224.174.51,64.223.182.101,3763,389,17,469,48909,Normal
113-flow,2026-04-04 23:39:40,249.58.91.61,228.124.29.232,19928,389,17,442,35386,LDAP
114-flow,2026-04-04 23:39:41,242.30.32.136,66.111.129.70,60830,443,6,59,3062,Normal
115-flow,2026-04-04 23:39:42,115.255.3.232,70.186.216.66,54742,80,6,149,21989,Normal
116-flow,2026-04-04 23:39:43,47.53.249.224,222.33.202.113,16730,443,6,159,24354,Normal
117-flow,2026-04-04 23:39:44,161.165.166.212,240.54.59.213,9725,389,17,348,5199,LDAP
118-flow,2026-04-04 23:39:45,30.149.45.40,154.83.195.26,62976,445,6,288,49598,Normal
119-flow,2026-04-04 23:39:46,207.40.221.208,253.152.210.134,47515,445,6,215,1951,Normal
120-flow,2026-04-04 23:39:47,58.11.39.242,129.28.109.19,44746,443,17,323,32084,Normal
121-flow,2026-04-04 23:39:48,82.48.243.98,205.143.224.173,43533,80,6,218,30688,Normal
122-flow,2026-04-04 23:39:49,191.172.189.20,143.247.173.171,41674,389,17,161,3088,LDAP
123-flow,2026-04-04 23:39:50,224.10.223.111,214.210.69.62,9647,443,17,111,13753,Normal
124-flow,2026-04-04 23:39:51,140.32.91.194,193.12.115.6,40096,443,6,258,14108,LDAP
125-flow,2026-04-04 23:39:52,219.198.171.66,203.79.97.202,34621,443,17,401,40082,Normal
126-flow,2026-04-04 23:39:53,217.214.126.85,223.53.247.37,26015,80,6,306,33890,Normal
127-flow,2026-04-04 23:39:54,140.112.17.163,242.91.77.120,58355,389,6,383,10518,Normal
128-flow,2026-04-04 23:39:55,165.48.228.54,86.33.112.163,46280,80,6,53,1807,Normal
129-flow,2026-04-04 23:39:56,148.202.75.88,107.18.59.54,31090,80,17,244,43758,Normal
130-flow,2026-04-04 23:39:57,223.60.142.204,70.80.89.186,54928,443,17,346,21623,Normal
131-flow,2026-04-04 23:39:58,196.40.5.124,12.112.11.102,34811,443,6,76,25331,Normal
132-flow,2026-04-04 23:39:59,250.169.235.92,162.209.13.133,4717,443,17,160,16956,Normal
133-flow,2026-04-04 23:40:00,195.223.150.179,216.250.64.10,17895,80,6,181,38386,Normal
134-flow,2026-04-04 23:40:01,70.60.36.76,115.201.210.46,19681,443,6,368,11492,Normal
135-flow,2026-04-04 23:40:02,202.24.244.242,60.231.113.63,22576,80,6,468,45084,LDAP
136-flow,2026-04-04 23:40:03,30.54.93.188,188.237.236.96,9482,445,17,500,28120,LDAP
137-flow,2026-04-04 23:40:04,67.68.72.143,154.69.243.246,22410,445,17,352,43628,Normal
138-flow,2026-04-04 23:40:05,160.212.112.104,81.111.184.178,55191,445,6,82,11420,Normal
139-flow,2026-04-04 23:40:06,21.239.204.129,81.26.199.20,5652,443,17,293,21513,Normal
140-flow,2026-04-04 23:40:07,158.165.41.70,90.118.218.7,3516,443,17,254,14973,Normal
141-flow,2026-04-04 23:40:08,61.142.212.16,104.215.225.42,61911,443,6,248,37348,NetBIOS
142-flow,2026-04-04 23:40:09,82.28.79.232,127.61.123.225,19537,80,6,282,23084,Normal
143-flow,2026-04-04 23:40:10,112.28.69.207,58.102.166.6,16780,445,6,300,40085,Normal
144-flow,2026-04-04 23:40:11,77.153.134.20,68.228.32.111,41732,80,17,344,47158,Normal
145-flow,2026-04-04 23:40:12,138.114.206.217,96.186.202.162,39162,80,6,432,37081,Normal
146-flow,2026-04-04 23:40:13,241.208.159.159,120.191.148.160,47627,443,6,347,34133,Normal
147-flow,2026-04-04 23:40:14,169.209.22.11,60.223.139.147,2406,443,17,174,45159,LDAP
148-flow,2026-04-04 23:40:15,20.77.241.138,79.79.63.77,56205,80,17,206,29027,LDAP
149-flow,2026-04-04 23:40:16,71.234.218.241,87.23.122.153,24520,445,6,43,45024,NetBIOS
150-flow,2026-04-04 23:40:17,151.85.254.194,81.53.71.165,49955,389,17,303,14599,Normal
151-flow,2026-04-04 23:40:18,179.59.40.94,119.76.236.166,26622,445,17,476,917,LDAP
152-flow,2026-04-04 23:40:19,38.7.111.4,158.234.58.204,8466,443,17,465,43930,Normal
153-flow,2026-04-04 23:40:20,120.161.174.198,233.192.140.212,38385,443,6,170,5681,LDAP
154-flow,2026-04-04 23:40:21,37.50.246.18,204.167.245.188,34270,80,17,277,49734,Normal
155-flow,2026-04-04 23:40:22,46.246.48.18,22.53.203.187,18141,80,17,441,4185,Normal
156-flow,2026-04-04 23:40:23,208.220.85.230,203.252.28.161,54656,389,17,337,43207,Normal
157-flow,2026-04-04 23:40:24,226.120.165.132,183.219.24.108,8604,389,17,222,1423,Normal
158-flow,2026-04-04 23:40:25,2.222.75.39,147.142.81.215,51566,445,17,167,32441,Normal
159-flow,2026-04-04 23:40:26,210.158.135.135,179.147.239.18,48271,443,6,179,29812,Normal
160-flow,2026-04-04 23:40:27,97.42.76.167,216.90.170.246,16134,389,17,161,2674,LDAP
161-flow,2026-04-04 23:40:28,110.78.117.33,116.184.114.111,27594,443,17,437,34874,Normal
162-flow,2026-04-04 23:40:29,200.210.56.92,5.224.39.220,6020,445,17,456,44576,Normal
163-flow,2026-04-04 23:40:30,171.61.27.200,180.75.22.211,4636,80,17,206,33087,Normal
164-flow,2026-04-04 23:40:31,137.254.118.246,123.108.233.116,30625,80,6,426,4975,Normal
165-flow,2026-04-04 23:40:32,146.27.143.170,104.202.36.56,44895,389,6,458,33061,Normal
166-flow,2026-04-04 23:40:33,223.18.149.201,14.246.127.15,62384,443,17,402,32180,Normal
167-flow,2026-04-04 23:40:34,191.60.174.47,160.12.209.229,22967,80,17,256,2640,Normal
168-flow,2026-04-04 23:40:35,25.187.242.207,105.111.56.69,47214,389,17,382,13031,Normal
169-flow,2026-04-04 23:40:36,91.207.145.157,234.213.234.193,14705,445,6,261,43126,Normal
170-flow,2026-04-04 23:40:37,29.162.246.241,93.98.75.123,7738,80,17,301,15411,LDAP
171-flow,2026-04-04 23:40:38,111.56.185.128,255.77.41.26,14332,445,17,8,21253,Normal
172-flow,2026-04-04 23:40:39,227.27.23.186,138.162.251.103,38328,445,6,341,40942,Normal
173-flow,2026-04-04 23:40:40,204.65.191.249,157.226.55.239,51166,445,6,435,46167,Normal
174-flow,2026-04-04 23:40:41,105.129.138.78,132.176.215.74,57073,443,17,105,45378,Normal
175-flow,2026-04-04 23:40:42,58.21.206.140,159.230.77.70,49821,389,17,407,34135,Normal
176-flow,2026-04-04 23:40:43,254.135.245.233,151.184.164.60,29237,80,17,275,30210,Normal
177-flow,2026-04-04 23:40:44,7.16.209.206,59.133.45.124,4405,445,6,182,25672,Normal
178-flow,2026-04-04 23:40:45,182.3.180.168,150.102.99.42,33442,389,17,338,12540,Normal
179-flow,2026-04-04 23:40:46,226.130.61.7,47.177.22.61,6533,80,6,183,5854,NetBIOS
180-flow,2026-04-04 23:40:47,53.162.198.123,108.165.103.55,35754,443,6,397,45291,LDAP
181-flow,2026-04-04 23:40:48,245.82.51.104,238.225.213.113,35385,445,17,335,29883,NetBIOS
182-flow,2026-04-04 23:40:49,82.35.131.174,163.197.149.106,3313,389,17,463,27069,Normal
183-flow,2026-04-04 23:40:50,74.23.170.66,109.142.176.157,30379,80,17,167,49533,Normal
184-flow,2026-04-04 23:40:51,252.10.192.112,28.191.231.23,13115,443,17,73,9864,Normal
185-flow,2026-04-04 23:40:52,174.83.199.108,153.206.2.148,14396,389,17,449,6177,LDAP
186-flow,2026-04-04 23:40:53,141.124.60.211,109.145.3.17,31713,80,17,326,35496,Normal
187-flow,2026-04-04 23:40:54,154.152.82.101,25.42.216.166,61887,445,6,342,22416,Normal
188-flow,2026-04-04 23:40:55,53.59.61.8,99.209.125.20,18571,389,6,175,28831,LDAP
189-flow,2026-04-04 23:40:56,159.207.151.66,193.209.131.28,44214,389,17,484,26955,NetBIOS
190-flow,2026-04-04 23:40:57,183.8.164.24,117.73.217.71,43117,80,6,101,11274,Normal
191-flow,2026-04-04 23:40:58,246.130.171.150,69.157.21.226,17896,389,17,224,44606,LDAP
192-flow,2026-04-04 23:40:59,133.90.217.26,202.193.14.180,49156,80,6,2,46141,Normal
193-flow,2026-04-04 23:41:00,236.138.124.28,108.185.73.130,3417,389,17,169,20561,Normal
194-flow,2026-04-04 23:41:01,50.250.116.170,160.155.18.115,29102,80,6,39,42076,Normal
195-flow,2026-04-04 23:41:02,96.159.11.77,196.162.2.120,45343,80,17,340,33925,Normal
196-flow,2026-04-04 23:41:03,158.118.61.180,216.26.80.187,3968,389,17,427,40175,Normal
197-flow,2026-04-04 23:41:04,11.165.119.230,84.8.220.98,2784,443,17,338,17459,Normal
198-flow,2026-04-04 23:41:05,175.203.136.55,87.227.49.59,59786,443,6,381,23525,Normal
199-flow,2026-04-04 23:41:06,151.185.81.55,24.101.53.215,22644,389,6,295,13732,Normal
200-flow,2026-04-04 23:41:07,138.17.105.163,102.196.20.119,1180,443,17,37,23307,LDAP
201-flow,2026-04-04 23:41:08,108.66.212.56,105.56.122.48,8820,445,6,207,40034,Normal
202-flow,2026-04-04 23:41:09,98.186.2.125,6.244.218.187,4386,443,17,248,22851,Normal
203-flow,2026-04-04 23:41:10,216.50.64.20,16.141.123.93,30918,445,17,407,7655,Normal
204-flow,2026-04-04 23:41:11,66.62.137.217,143.31.92.154,25889,80,6,180,22357,LDAP
205-flow,2026-04-04 23:41:12,204.214.218.253,210.5.58.83,24857,389,6,308,33477,Normal
206-flow,2026-04-04 23:41:13,13.184.128.185,7.65.111.245,19069,389,17,472,49523,Normal
207-flow,2026-04-04 23:41:14,94.114.71.21,58.197.56.103,20584,389,17,48,45149,Normal
208-flow,2026-04-04 23:41:15,33.65.81.182,108.249.29.168,54303,445,17,53,27643,Normal
209-flow,2026-04-04 23:41:16,255.157.117.37,151.171.239.56,45875,443,17,304,49502,Normal
210-flow,2026-04-04 23:41:17,80.71.215.214,107.249.102.160,16904,445,6,379,25820,Normal
211-flow,2026-04-04 23:41:18,130.202.52.135,135.66.88.173,64381,445,17,272,43455,Normal
212-flow,2026-04-04 23:41:19,222.168.160.65,203.123.84.173,24175,445,6,145,17373,Normal
213-flow,2026-04-04 23:41:20,209.28.100.223,99.64.137.157,61736,389,17,77,42869,Normal
214-flow,2026-04-04 23:41:21,129.249.134.73,167.47.252.213,44638,80,6,336,41705,Normal
215-flow,2026-04-04 23:41:22,10.202.25.137,182.234.214.62,7210,445,17,496,35306,Normal
216-flow,2026-04-04 23:41:23,127.173.86.132,37.56.35.41,63222,443,17,187,46670,Normal
217-flow,2026-04-04 23:41:24,211.249.210.158,18.204.41.93,13999,80,6,363,30377,Normal
218-flow,2026-04-04 23:41:25,204.163.69.200,36.94.191.184,2419,445,6,29,26479,Normal
219-flow,2026-04-04 23:41:26,41.12.17.208,52.192.253.24,24289,445,6,88,6553,Normal
220-flow,2026-04-04 23:41:27,193.140.103.227,49.117.189.63,43473,445,6,406,33715,Normal
221-flow,2026-04-04 23:41:28,240.244.48.132,72.136.131.117,44023,443,17,327,29230,NetBIOS
222-flow,2026-04-04 23:41:29,98.43.246.120,188.226.185.190,26857,80,17,279,10147,Normal
223-flow,2026-04-04 23:41:30,10.121.202.210,112.190.100.191,46084,389,17,329,6503,NetBIOS
224-flow,2026-04-04 23:41:31,211.68.255.60,22.223.182.146,46950,445,17,301,20413,Normal
225-flow,2026-04-04 23:41:32,161.226.81.44,193.236.242.144,4152,445,17,250,8726,Normal
226-flow,2026-04-04 23:41:33,124.77.167.73,37.134.1.69,47690,443,17,427,22454,Normal
227-flow,2026-04-04 23:41:34,160.252.129.181,115.235.123.86,36406,445,6,389,47195,Normal
228-flow,2026-04-04 23:41:35,233.237.182.20,49.182.32.139,54647,443,17,186,35129,Normal
229-flow,2026-04-04 23:41:36,89.170.245.158,240.94.191.253,23184,80,17,454,46198,NetBIOS
230-flow,2026-04-04 23:41:37,101.18.127.121,217.252.106.173,62306,389,6,374,8009,LDAP
231-flow,2026-04-04 23:41:38,90.216.171.247,153.44.20.237,48629,80,17,14,34096,Normal
232-flow,2026-04-04 23:41:39,113.121.84.129,148.116.42.72,50662,443,17,479,46205,Normal
233-flow,2026-04-04 23:41:40,122.240.25.19,182.39.196.71,28888,443,17,87,16833,Normal
234-flow,2026-04-04 23:41:41,96.82.248.71,34.36.209.156,37921,443,17,305,26583,LDAP
235-flow,2026-04-04 23:41:42,199.202.150.143,248.145.7.101,39583,80,17,376,27919,Normal
236-flow,2026-04-04 23:41:43,247.194.174.7,194.239.23.135,6355,80,6,239,7841,NetBIOS
237-flow,2026-04-04 23:41:44,111.37.71.26,216.227.149.228,61986,445,6,145,11091,NetBIOS
238-flow,2026-04-04 23:41:45,35.188.19.253,203.5.109.50,48386,445,6,475,3284,Normal
239-flow,2026-04-04 23:41:46,37.150.211.25,165.118.110.247,6991,445,17,170,38218,NetBIOS
240-flow,2026-04-04 23:41:47,190.2.1.48,58.235.66.2,13381,80,6,164,28610,Normal
241-flow,2026-04-04 23:41:48,75.55.59.149,30.158.194.236,57598,80,6,331,6457,Normal
242-flow,2026-04-04 23:41:49,226.152.194.29,75.241.178.98,4102,443,17,120,17252,Normal
243-flow,2026-04-04 23:41:50,186.227.194.88,225.115.113.134,18229,445,17,48,40522,Normal
244-flow,2026-04-04 23:41:51,214.242.180.157,128.241.90.5,23787,389,17,96,16480,Normal
245-flow,2026-04-04 23:41:52,55.34.216.56,102.221.169.155,62793,389,6,23,18450,Normal
246-flow,2026-04-04 23:41:53,105.66.103.218,144.72.21.132,12973,80,17,14,31470,Normal
247-flow,2026-04-04 23:41:54,159.117.215.214,148.28.122.255,2387,443,17,193,15489,Normal
248-flow,2026-04-04 23:41:55,151.83.35.197,105.49.210.126,39699,80,17,276,26909,Normal
249-flow,2026-04-04 23:41:56,104.222.89.44,12.136.120.183,18267,445,6,82,26793,LDAP
250-flow,2026-04-04 23:41:57,128.230.49.228,213.178.188.127,23089,80,17,9,15584,Normal
251-flow,2026-04-04 23:41:58,213.171.193.118,38.67.253.140,26249,80,6,293,11419,Normal
252-flow,2026-04-04 23:41:59,168.112.207.82,245.81.80.7,64787,443,17,385,32684,NetBIOS
253-flow,2026-04-04 23:42:00,197.48.18.234,243.18.127.213,49803,443,6,12,24785,Normal
254-flow,2026-04-04 23:42:01,229.126.205.35,80.61.2.173,1427,445,6,311,49598,Normal
255-flow,2026-04-04 23:42:02,153.171.105.94,14.254.36.174,22397,445,6,316,39829,Normal
256-flow,2026-04-04 23:42:03,150.153.14.14,98.50.98.231,52612,445,6,465,117,Normal
257-flow,2026-04-04 23:42:04,138.120.44.29,89.71.15.238,28160,389,6,207,21978,Normal
258-flow,2026-04-04 23:42:05,152.87.23.228,201.129.19.197,55182,80,17,72,14010,LDAP
259-flow,2026-04-04 23:42:06,243.46.18.117,83.67.142.245,62651,445,6,433,3207,NetBIOS
260-flow,2026-04-04 23:42:07,62.199.14.191,228.244.176.210,8102,445,6,301,37624,Normal
261-flow,2026-04-04 23:42:08,114.7.21.246,96.94.48.95,57465,445,17,47,10704,Normal
262-flow,2026-04-04 23:42:09,14.192.131.47,122.67.167.12,44389,443,17,20,47431,NetBIOS
263-flow,2026-04-04 23:42:10,29.154.156.54,52.237.236.181,8166,80,6,182,15403,Normal
264-flow,2026-04-04 23:42:11,33.25.218.132,144.246.108.73,53160,389,17,498,32180,Normal
265-flow,2026-04-04 23:42:12,199.209.133.34,163.5.83.215,6869,389,17,41,29489,Normal
266-flow,2026-04-04 23:42:13,100.112.53.110,58.63.66.251,27286,445,6,300,49222,Normal
267-flow,2026-04-04 23:42:14,120.34.7.108,171.48.181.147,36602,443,17,245,34431,Normal
268-flow,2026-04-04 23:42:15,114.205.141.210,29.241.83.226,41546,389,17,351,46798,Normal
269-flow,2026-04-04 23:42:16,47.11.113.23,19.59.28.191,30231,445,6,492,8335,NetBIOS
270-flow,2026-04-04 23:42:17,183.30.69.23,76.185.173.124,53294,445,6,265,35328,Normal
271-flow,2026-04-04 23:42:18,219.115.100.27,165.139.107.254,9308,80,17,432,10312,Normal
272-flow,2026-04-04 23:42:19,24.119.106.224,210.181.181.197,39879,443,17,389,44246,Normal
273-flow,2026-04-04 23:42:20,97.43.250.159,255.206.48.83,32679,443,6,265,40470,NetBIOS
274-flow,2026-04-04 23:42:21,151.219.56.210,140.199.236.112,33132,443,17,80,17154,Normal
